Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
75,11,Jaxx Groshans,TOP,"Ball, Ball, Called Strike, Ball, 11 Jaxx Groshansadvances to 1st (walk)",3,1,,,,Chris LaLonde,
76,20,Blake Tiberi,TOP,"Ball, Ball, Swinging Strike, Foul, Ball, Foul, 20Blake Tiberi advances to 1st (walk), 11 Jaxx Groshans advances to 2nd (20)",3,2,,,,Chris LaLonde,
77,13,Brian Rey,TOP,"Ball, 13 Brian Rey advances to 1st (error by the second baseman), 20 Blake Tiberi advances to 2nd (13), 11 Jaxx Groshans advances to 3rd (13)",1,0,,,,Chris LaLonde,
78,7,Demetrius Sims,TOP,"Ball, 7 Demetrius Sims advances to 1st (single), 13 Brian Rey advances to 2nd (7), 20 Blake Tiberi advances to 3rd (7), 11 Jaxx Groshans Scores Earned(7)",1,0,1,,,Christian Johnson,
79,9,Marcus Chiu,TOP,"Ball, Foul, Ball, Called Strike, Foul, Ball, 9 Marcus Chiu advances to 1st (walk), 7 Demetrius Simsadvances to 2nd (9), 13 Brian Rey advances to 3rd(9), 20 Blake Tiberi Scores Earned (9)Pitching Substitution    13 Christian Johnson subs for Cole LaLonde Pitcher.",3,2,,,,Christian Johnson,
80,25,Curtis Terry,TOP,"Ball, Called Strike, Ball, Ball, 13 Brian Rey Scores Unearned (25), 7 Demetrius Sims Scores Earned (25), 9 Marcus Chiu Scores Earned (25), 25 Curtis Terry Scores Earned (home run)",3,1,1,,,Christian Johnson,
81,17,Thomas Jones,TOP,"Ball, 17 Thomas Jones putout (P3) for out number 1",1,0,,1,,Christian Johnson,
82,12,Dustin Woodcock,TOP,"Foul, Swinging Strike, Ball, 12 Dustin Woodcock putout (strike out) for out number 2",1,2,,1,,Charlie Hasty,
83,15,Kevin Maitan,TOP,"Swinging Strike, Foul, Ball, Ball, 15 Kevin Maitanputout (6-3) for out number 3",2,2,,1,,Charlie Hasty,
84,3,Jordan Barth,BOTTOM,"Called Strike, Ball, 3 Jordan Barth putout (5-3) for out number 1",1,1,,,1,,M Mullenbach
85,11,Jabari Henry,BOTTOM,"Swinging Strike, Foul, Foul, Ball, Ball, 11 JabariHenry putout (fly out to center field) for out number 2",2,2,,,1,,M Mullenbach
86,20,Mike Hart,BOTTOM,"Ball, Called Strike, Ball, 20 Mike Hart putout (4-3) for out number 3",2,1,,,1,,M Mullenbach
87,11,Jaxx Groshans,TOP,"Foul, Swinging Strike, Ball, Ball, 11 Jaxx Groshans advances to 1st (single)",2,2,1,,,Charlie Hasty,
88,20,Blake Tiberi,TOP,"Ball, Ball, 20 Blake Tiberi putout (fly out to right field) for out number 1",2,0,,1,,Charlie Hasty,
89,13,Brian Rey,TOP,13 Brian Rey putout (fly out to center field) forout number 2,0,0,,1,,Neil Lang,
90,7,Demetrius Sims,TOP,"Ball, Swinging Strike, 7 Demetrius Sims putout (fly out to right field) for out number 3",1,1,,1,,Neil Lang,
91,21,Darnell Sweeney,BOTTOM,21 Darnell Sweeney advances to 1st (single),0,0,1,,,,M Mullenbach
92,5,Trevor Achenbach,BOTTOM,"Called Strike, Ball, Foul, 5 Trevor Achenbach advances to 1st (single), 21 Darnell Sweeney advancesto 2nd (5)",1,2,1,,,,M Mullenbach
93,16,Hunter Clanin,BOTTOM,16 Hunter Clanin putout (P5) for out number 1,0,0,,,1,,M Mullenbach
94,15,Welington Dotel,BOTTOM,"Ball, 15 Welington Dotel advances to 1st (single),5 Trevor Achenbach advances to 2nd (15), 21 Darnell Sweeney advances to 3rd (15)",1,0,1,,,,M Mullenbach
95,29,Spencer Sarringar,BOTTOM,"15 Welington Dotel putout (6-4) for out number 2,29 Spencer Sarringar putout (6-4-3 DP) for out number 3",0,0,,,1,,M Mullenbach
