Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
71,22,Francisco Del,BOTTOM,"Valle Ball, Ball, 22 Francisco Del Valle putout (P5) forout number 2",2,0,,,1,,Beaux Bonvillain
72,14,Seth Caddell,BOTTOM,"Called Strike, Swinging Strike, 14 Seth Caddell putout (strike out) for out number 3",0,2,,,1,,Beaux Bonvillain
73,3,Jordan Barth,TOP,"Called Strike, Foul, 3 Jordan Barth putout (4-3) for out number 1",0,2,,1,,J Valdez,
74,11,Jabari Henry,TOP,"Ball, Called Strike, Ball, Foul, Ball, 11 Jabari Henry advances to 1st (single)",3,2,1,,,J Valdez,
75,21,Darnell Sweeney,TOP,"Foul, 21 Darnell Sweeney advances to 1st (single to center field), 11 Jabari Henry advances to 2nd (21)",0,1,1,,,J Valdez,
76,20,Mike Hart,TOP,"Called Strike, Swinging Strike, Foul, 20 Mike Hartputout (strike out swinging) for out number 2",0,2,,1,,H Francis,
77,16,Hunter Clanin,TOP,"Ball, Ball, Swinging Strike, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for outnumber 3",2,2,,1,,H Francis,
78,34,Jose Contreras,BOTTOM,"Swinging Strike, Foul, 34 Jose Contreras putout (strike out swinging) for out number 1",0,2,,,1,,Beaux Bonvillain
79,17,Daniel Lingua,BOTTOM,17 Daniel Lingua advances to 1st (single to rightfield),0,0,1,,,,Beaux Bonvillain
80,29,Gio Diaz,BOTTOM,"Called Strike, Called Strike, 29 Gio Diaz putout (strike out swinging) for out number 2",0,2,,,1,,Christian Johnson
81,44,Jackson Valera,BOTTOM,"Swinging Strike, 17 Daniel Lingua advances to 2nd(stolen base), Foul, Foul, Foul, 44 Jackson Valeraputout (strike out swinging) for out number 3",0,2,,,1,,Ty Culbreth
82,15,Welington Dotel,TOP,"Ball, Ball, Ball, 0 Osvaldo Martinez putout (6-4-3DP) for out number 3, Ball, Ball, Swinging Strike, 16 Hunter Clanin advances to 3rd (wild pitch), Called Strike, Ball, 1 Wyatt Ulrich advances to 1st(fielder's choice), 16 Hunter Clanin putout (3-2)for out number 1, Foul, Called Strike, Foul, 35 Shamoy Christopher advances to 1st (walk), 15 Welington Dotel advances to 1st (hit by pitch)",6,2,,1,,H Francis,
83,3,Jordan Barth,BOTTOM,"1 Wyatt Ulrich putout (6-4) for out number 2, 15 Welington Dotel advances to 2nd (wild pitch), 35 Shamoy Christopher advances to 2nd (1)",0,0,,,1,,Ty Culbreth
84,11,Jabari Henry,BOTTOM,15 Welington Dotel advances to 3rd (1),0,0,,,,,Ty Culbreth
85,25,Jesus Marriaga,BOTTOM,"Ball, 25 Jesus Marriaga advances to 2nd (double),28 Will Decker Scores Unearned (25)",1,0,1,,,,Ty Culbreth
